PO,Debit Amount,Count
PO14182,34690,1
PO14183,15750,1
PO14184,70000,1
PO14185,59810.4,1
PO14186,54969,1
PO14187,1560,1
PO14188,62909.32,1
PO14189,21000,1
PO14190,60285.6,1
PO14191,14681.2,1
PO14195,3718.96,1
PO14196,131870.98,1
PO14198,812.1,1
PO14199,751.358,1
PO14200,0,1
PO14201,102758.4,1
PO14202,276357.6,1
PO14203,8396452.07,1
PO14205,2167725.9,1
PO14206,14786.294,1
PO14210,54649.88,1
PO14212,1796.532,1
PO14213,6030,1
PO14214,9247.4,1
PO14215,22837.5,1
PO14216,18153.6,1
PO14217,6500,1
PO1429,22176,1
PO143,13690,1
PO1430,171720,1
PO1431,307730.75,1
PO1433,277908,1
PO1434,75295,1
PO1438,1042.262,1
PO1439,36658.717,1
PO1440,9235.04,1
PO1441,3726,1
PO1442,15265,1
PO1443,235987.3,1
PO14437,4162.488,1
PO1444,396577.4,1
PO14444,468972.2,1
PO14450,40747.607,1
PO14451,16279.2,1
PO14458,32659.2,1
PO14459,635069.4,1
PO1446,43892.98,1
PO14460,38956,1
PO14461,375201.216,1
PO14462,24547.867,1
PO14463,5521.742,1
PO14464,508871.356,1
PO1447,68076.8,1
PO14473,1955750,1
PO14477,7735.599,1
PO14478,4688.012,1
PO14479,1776.8,1
PO1448,3105,1
PO14480,49868.82,1
PO14481,75594.48,1
PO14482,8769.6,1
PO14483,9943.457,1
PO14484,14539.974,1
PO14485,8679.2,1
PO14486,2250.264,1
PO14487,10259.765,1
PO14488,35495.361,1
PO14489,122781.12,1
PO1449,3062.4,1
PO14490,20279.57,1
PO14491,21606.724,1
PO14493,71914.92,1
PO14495,40816.3,1
PO14496,199310.89,1
PO14497,228340.4,1
PO1450,11720.8,1
PO14501,107350.43,1
PO14503,150,1
PO14506,101.15,1
PO14507,53298,1
PO14509,15680,1
PO1451,5622.48,1
PO14513,137750,1
PO14514,8841,1
PO14515,4205.755,1
PO14518,3274.142,1
PO14519,5593.6,1
PO1452,52803.07,1
PO14520,6068,1
PO14521,59220,1
PO14522,16800.557,1
PO14523,34532.125,1
PO14524,27391.054,1
PO14525,57867.32,1
PO14528,33854.4,1
PO1453,1609.433,1
PO14530,75339.26,1
PO14531,16575.6,1
PO1454,16859.68,1
PO1455,213679.05,1
PO1456,2580.39,1
PO1457,2825.899,1
PO1458,5315.936,1
PO1459,8154.68,1
PO1460,26361,1
PO1461,10644.48,1
PO1462,96883.44,1
PO1464,2998.8,1
PO1465,632.628,1
PO1467,2213.75,1
PO1468,16317.4,1
PO1469,50800.64,1
PO1470,8118,1
PO1471,44035.702,1
PO1472,33384.925,1
PO1473,1097162,1
PO1474,31140,1
PO1475,21364,1
PO1476,18595.6,1
PO148,161388.6,1
PO1480,201.6,1
PO1481,768,1
PO1482,57074,1
PO14835,116164,1
PO14836,15230.494,1
PO14840,7189,1
PO14841,1500.35,1
PO14843,22624.11,1
PO14850,36244.78,1
PO14853,340837.22,1
PO14855,23972.18,1
PO14857,344192.236,1
PO14859,92369.88,1
PO1486,2580.39,1
PO14860,8622.15,1
PO14865,624.961,1
PO14867,11088,1
PO14868,18729.36,1
PO14869,5756.4,1
PO1487,16348,1
PO14870,68000,1
PO14871,214225.17,1
PO1488,9132.48,1
PO1489,5140.8,1
PO14891,2792.056,1
PO14894,5704.696,1
PO14895,35354.64,1
PO14896,6960,1
PO14897,14250,1
PO14898,33718.603,1
PO14899,1750,1
PO14900,3274.775,1
PO14901,25764.109,1
